CensusYear,Industry,County,WorkingPopulation,Population,MeanIncome,pctIndustryEmployement
2016,Wholesale and retail trade,Galway,13311.0,258058.0,39042.0,5.158142743104263
2011,Wholesale and retail trade,Leitrim,1538.0,31798.0,34461.0,4.836782187558966
2016,Wholesale and retail trade,Leitrim,1534.0,32044.0,34848.0,4.787167644488828
2011,Wholesale and retail trade,Mayo,7675.0,130638.0,34117.0,5.8750133957960164
2016,Wholesale and retail trade,Mayo,7400.0,130507.0,35036.0,5.6701939359574585
2011,Wholesale and retail trade,Roscommon,3660.0,64065.0,35515.0,5.712947787403419
2016,Wholesale and retail trade,Roscommon,3585.0,64544.0,36199.0,5.554350520575111
2011,Wholesale and retail trade,Sligo,3528.0,65393.0,36340.0,5.3950728671264505
2016,Wholesale and retail trade,Sligo,3291.0,65535.0,37071.0,5.021744106202792
2011,Wholesale and retail trade,Cavan,3758.0,73183.0,34489.0,5.135072352868836
2016,Wholesale and retail trade,Cavan,3965.0,76176.0,35327.0,5.205051459777358
2011,Wholesale and retail trade,Donegal,7896.0,161137.0,31776.0,4.900178109310711
2016,Wholesale and retail trade,Donegal,7866.0,159192.0,31683.0,4.941203075531433
2011,Wholesale and retail trade,Monaghan,3654.0,60483.0,32502.0,6.041366995684737
2016,Wholesale and retail trade,Monaghan,3965.0,61386.0,32297.0,6.459127488352393
2011,Hotels and restaurants,Carlow,1078.0,54612.0,34815.0,1.9739251446568522
2016,Hotels and restaurants,Carlow,1210.0,56932.0,35234.0,2.125342513876203
2011,Hotels and restaurants,Dublin,29309.0,1273069.0,44243.0,2.302231850748074
2016,Hotels and restaurants,Dublin,33989.0,1347359.0,46976.0,2.522638732513012
2011,Hotels and restaurants,Kildare,3875.0,210312.0,42084.0,1.84250066567766
2016,Hotels and restaurants,Kildare,4436.0,222504.0,44092.0,1.9936720238737282
2011,Hotels and restaurants,Kilkenny,2330.0,95419.0,36856.0,2.4418616837317515
2016,Hotels and restaurants,Kilkenny,2575.0,99232.0,37338.0,2.5949290551435023
2011,Hotels and restaurants,Laois,1497.0,80559.0,37253.0,1.8582653707220793
2016,Hotels and restaurants,Laois,1711.0,84697.0,37703.0,2.0201423899311663
2011,Hotels and restaurants,Longford,558.0,39000.0,33473.0,1.4307692307692308
