"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"Permanent private","Westmeath","1966","Number of Persons Resident","Number","49609"
"Permanent private","Westmeath","1971","Number of Households","Number","12895"
"Permanent private","Westmeath","1971","Number of Persons Resident","Number","50543"
"Permanent private","Westmeath","1979","Number of Households","Number","15067"
"Permanent private","Westmeath","1979","Number of Persons Resident","Number","56561"
"Permanent private","Westmeath","1981","Number of Households","Number","15591"
"Permanent private","Westmeath","1981","Number of Persons Resident","Number","57776"
"Permanent private","Westmeath","1986","Number of Households","Number","16859"
"Permanent private","Westmeath","1986","Number of Persons Resident","Number","60201"
"Permanent private","Westmeath","1991","Number of Households","Number","17477"
"Permanent private","Westmeath","1991","Number of Persons Resident","Number","59289"
"Permanent private","Westmeath","1996","Number of Households","Number","18968"
"Permanent private","Westmeath","1996","Number of Persons Resident","Number","60956"
"Permanent private","Westmeath","2002","Number of Households","Number","23160"
"Permanent private","Westmeath","2002","Number of Persons Resident","Number","69046"
"Permanent private","Westmeath","2006","Number of Households","Number","26881"
"Permanent private","Westmeath","2006","Number of Persons Resident","Number","76603"
"Permanent private","Westmeath","2011","Number of Households","Number","30624"
"Permanent private","Westmeath","2011","Number of Persons Resident","Number","84609"
"Permanent private","Westmeath","2016","Number of Households","Number","31685"
"Permanent private","Westmeath","2016","Number of Persons Resident","Number","87591"
"Permanent private","Wexford","1926","Number of Households","Number","20607"
"Permanent private","Wexford","1926","Number of Persons Resident","Number","90710"
"Permanent private","Wexford","1936","Number of Households","Number","21058"
"Permanent private","Wexford","1936","Number of Persons Resident","Number","90001"
"Permanent private","Wexford","1946","Number of Households","Number","20902"
"Permanent private","Wexford","1946","Number of Persons Resident","Number","87120"
"Permanent private","Wexford","1961","Number of Households","Number","19992"
"Permanent private","Wexford","1961","Number of Persons Resident","Number","80261"
"Permanent private","Wexford","1966","Number of Households","Number","19830"
"Permanent private","Wexford","1966","Number of Persons Resident","Number","80601"
"Permanent private","Wexford","1971","Number of Households","Number","20607"
"Permanent private","Wexford","1971","Number of Persons Resident","Number","83538"
"Permanent private","Wexford","1979","Number of Households","Number","23778"
"Permanent private","Wexford","1979","Number of Persons Resident","Number","92291"
"Permanent private","Wexford","1981","Number of Households","Number","24425"
"Permanent private","Wexford","1981","Number of Persons Resident","Number","94019"
"Permanent private","Wexford","1986","Number of Households","Number","26516"
"Permanent private","Wexford","1986","Number of Persons Resident","Number","98110"
"Permanent private","Wexford","1991","Number of Households","Number","28099"
"Permanent private","Wexford","1991","Number of Persons Resident","Number","98183"
"Permanent private","Wexford","1996","Number of Households","Number","30708"
"Permanent private","Wexford","1996","Number of Persons Resident","Number","100622"
"Permanent private","Wexford","2002","Number of Households","Number","37415"
"Permanent private","Wexford","2002","Number of Persons Resident","Number","112744"
"Permanent private","Wexford","2006","Number of Households","Number","45096"
"Permanent private","Wexford","2006","Number of Persons Resident","Number","128311"
"Permanent private","Wexford","2011","Number of Households","Number","52345"
"Permanent private","Wexford","2011","Number of Persons Resident","Number","143799"
"Permanent private","Wexford","2016","Number of Households","Number","54006"
"Permanent private","Wexford","2016","Number of Persons Resident","Number","147713"
"Permanent private","Wicklow","1926","Number of Households","Number","12865"
"Permanent private","Wicklow","1926","Number of Persons Resident","Number","54721"
"Permanent private","Wicklow","1936","Number of Households","Number","13384"
"Permanent private","Wicklow","1936","Number of Persons Resident","Number","55656"
"Permanent private","Wicklow","1946","Number of Households","Number","13853"
"Permanent private","Wicklow","1946","Number of Persons Resident","Number","56153"
"Permanent private","Wicklow","1961","Number of Households","Number","14331"
"Permanent private","Wicklow","1961","Number of Persons Resident","Number","56542"
"Permanent private","Wicklow","1966","Number of Households","Number","14500"
"Permanent private","Wicklow","1966","Number of Persons Resident","Number","58339"
"Permanent private","Wicklow","1971","Number of Households","Number","16105"
"Permanent private","Wicklow","1971","Number of Persons Resident","Number","63667"
"Permanent private","Wicklow","1979","Number of Households","Number","21641"
"Permanent private","Wicklow","1979","Number of Persons Resident","Number","81229"
"Permanent private","Wicklow","1981","Number of Households","Number","22720"
"Permanent private","Wicklow","1981","Number of Persons Resident","Number","84214"
"Permanent private","Wicklow","1986","Number of Households","Number","25669"
"Permanent private","Wicklow","1986","Number of Persons Resident","Number","91782"
"Permanent private","Wicklow","1991","Number of Households","Number","27756"
"Permanent private","Wicklow","1991","Number of Persons Resident","Number","94657"
"Permanent private","Wicklow","1996","Number of Households","Number","30806"
"Permanent private","Wicklow","1996","Number of Persons Resident","Number","99537"
"Permanent private","Wicklow","2002","Number of Households","Number","36138"
"Permanent private","Wicklow","2002","Number of Persons Resident","Number","111006"
"Permanent private","Wicklow","2006","Number of Households","Number","42472"
"Permanent private","Wicklow","2006","Number of Persons Resident","Number","122913"
"Permanent private","Wicklow","2011","Number of Households","Number","47579"
"Permanent private","Wicklow","2011","Number of Persons Resident","Number","134848"
"Permanent private","Wicklow","2016","Number of Households","Number","49005"
"Permanent private","Wicklow","2016","Number of Persons Resident","Number","140566"
"Permanent private","Munster","1926","Number of Households","Number","196482"
"Permanent private","Munster","1926","Number of Persons Resident","Number","912643"
"Permanent private","Munster","1936","Number of Households","Number","202847"
"Permanent private","Munster","1936","Number of Persons Resident","Number","890085"
"Permanent private","Munster","1946","Number of Households","Number","205966"
"Permanent private","Munster","1946","Number of Persons Resident","Number","861683"
"Permanent private","Munster","1961","Number of Households","Number","204573"
"Permanent private","Munster","1961","Number of Persons Resident","Number","811040"
"Permanent private","Munster","1966","Number of Households","Number","205517"
"Permanent private","Munster","1966","Number of Persons Resident","Number","821025"
"Permanent private","Munster","1971","Number of Households","Number","215896"
"Permanent private","Munster","1971","Number of Persons Resident","Number","847745"
"Permanent private","Munster","1979","Number of Households","Number","251816"
"Permanent private","Munster","1979","Number of Persons Resident","Number","940029"
"Permanent private","Munster","1981","Number of Households","Number","258928"
"Permanent private","Munster","1981","Number of Persons Resident","Number","954075"
"Permanent private","Munster","1986","Number of Households","Number","276866"
"Permanent private","Munster","1986","Number of Persons Resident","Number","982367"
