"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"All households","Longford","1926","Number of Households","Number",""
"All households","Longford","1926","Number of Persons Resident","Number","39847"
"All households","Longford","1936","Number of Households","Number",""
"All households","Longford","1936","Number of Persons Resident","Number","37847"
"All households","Longford","1946","Number of Households","Number",""
"All households","Longford","1946","Number of Persons Resident","Number","36218"
"All households","Longford","1961","Number of Households","Number",""
"All households","Longford","1961","Number of Persons Resident","Number","30643"
"All households","Longford","1966","Number of Households","Number",""
"All households","Longford","1966","Number of Persons Resident","Number","28989"
"All households","Longford","1971","Number of Households","Number",""
"All households","Longford","1971","Number of Persons Resident","Number","28250"
"All households","Longford","1979","Number of Households","Number","8427"
"All households","Longford","1979","Number of Persons Resident","Number","30785"
"All households","Longford","1981","Number of Households","Number","8630"
"All households","Longford","1981","Number of Persons Resident","Number","31140"
"All households","Longford","1986","Number of Households","Number","8966"
"All households","Longford","1986","Number of Persons Resident","Number","31496"
"All households","Longford","1991","Number of Households","Number","8950"
"All households","Longford","1991","Number of Persons Resident","Number","30296"
"All households","Longford","1996","Number of Households","Number","9410"
"All households","Longford","1996","Number of Persons Resident","Number","30166"
"All households","Longford","2002","Number of Households","Number","10405"
"All households","Longford","2002","Number of Persons Resident","Number","30925"
"All households","Longford","2006","Number of Households","Number","12134"
"All households","Longford","2006","Number of Persons Resident","Number","34301"
"All households","Longford","2011","Number of Households","Number","14472"
"All households","Longford","2011","Number of Persons Resident","Number","39369"
"All households","Longford","2016","Number of Households","Number","15145"
"All households","Longford","2016","Number of Persons Resident","Number","41205"
"All households","Louth","1926","Number of Households","Number",""
"All households","Louth","1926","Number of Persons Resident","Number","62739"
"All households","Louth","1936","Number of Households","Number",""
"All households","Louth","1936","Number of Persons Resident","Number","64339"
"All households","Louth","1946","Number of Households","Number",""
"All households","Louth","1946","Number of Persons Resident","Number","66194"
"All households","Louth","1961","Number of Households","Number",""
"All households","Louth","1961","Number of Persons Resident","Number","67378"
"All households","Louth","1966","Number of Households","Number",""
"All households","Louth","1966","Number of Persons Resident","Number","69519"
"All households","Louth","1971","Number of Households","Number",""
"All households","Louth","1971","Number of Persons Resident","Number","74951"
"All households","Louth","1979","Number of Households","Number","21989"
"All households","Louth","1979","Number of Persons Resident","Number","86135"
"All households","Louth","1981","Number of Households","Number","22963"
"All households","Louth","1981","Number of Persons Resident","Number","88514"
"All households","Louth","1986","Number of Households","Number","24705"
"All households","Louth","1986","Number of Persons Resident","Number","91810"
"All households","Louth","1991","Number of Households","Number","25994"
"All households","Louth","1991","Number of Persons Resident","Number","90724"
"All households","Louth","1996","Number of Households","Number","28207"
"All households","Louth","1996","Number of Persons Resident","Number","92166"
"All households","Louth","2002","Number of Households","Number","33570"
"All households","Louth","2002","Number of Persons Resident","Number","101555"
"All households","Louth","2006","Number of Households","Number","38786"
"All households","Louth","2006","Number of Persons Resident","Number","111488"
"All households","Louth","2011","Number of Households","Number","44043"
"All households","Louth","2011","Number of Persons Resident","Number","123862"
"All households","Louth","2016","Number of Households","Number","45572"
"All households","Louth","2016","Number of Persons Resident","Number","130156"
"All households","Meath","1926","Number of Households","Number",""
"All households","Meath","1926","Number of Persons Resident","Number","62969"
"All households","Meath","1936","Number of Households","Number",""
"All households","Meath","1936","Number of Persons Resident","Number","61405"
"All households","Meath","1946","Number of Households","Number",""
"All households","Meath","1946","Number of Persons Resident","Number","66232"
"All households","Meath","1961","Number of Households","Number",""
"All households","Meath","1961","Number of Persons Resident","Number","65122"
"All households","Meath","1966","Number of Households","Number",""
"All households","Meath","1966","Number of Persons Resident","Number","67323"
"All households","Meath","1971","Number of Households","Number",""
"All households","Meath","1971","Number of Persons Resident","Number","71729"
"All households","Meath","1979","Number of Households","Number","22773"
"All households","Meath","1979","Number of Persons Resident","Number","90715"
"All households","Meath","1981","Number of Households","Number","24319"
"All households","Meath","1981","Number of Persons Resident","Number","95419"
"All households","Meath","1986","Number of Households","Number","27015"
"All households","Meath","1986","Number of Persons Resident","Number","103881"
"All households","Meath","1991","Number of Households","Number","28868"
"All households","Meath","1991","Number of Persons Resident","Number","105370"
"All households","Meath","1996","Number of Households","Number","31863"
"All households","Meath","1996","Number of Persons Resident","Number","109732"
"All households","Meath","2002","Number of Households","Number","41780"
"All households","Meath","2002","Number of Persons Resident","Number","133736"
"All households","Meath","2006","Number of Households","Number","54021"
"All households","Meath","2006","Number of Persons Resident","Number","163045"
"All households","Meath","2011","Number of Households","Number","62297"
"All households","Meath","2011","Number of Persons Resident","Number","186323"
"All households","Meath","2016","Number of Households","Number","64332"
"All households","Meath","2016","Number of Persons Resident","Number","197508"
"All households","Offaly","1926","Number of Households","Number",""
"All households","Offaly","1926","Number of Persons Resident","Number","52592"
"All households","Offaly","1936","Number of Households","Number",""
"All households","Offaly","1936","Number of Persons Resident","Number","51308"
"All households","Offaly","1946","Number of Households","Number",""
"All households","Offaly","1946","Number of Persons Resident","Number","53686"
"All households","Offaly","1961","Number of Households","Number",""
"All households","Offaly","1961","Number of Persons Resident","Number","51533"
"All households","Offaly","1966","Number of Households","Number",""
"All households","Offaly","1966","Number of Persons Resident","Number","51717"
"All households","Offaly","1971","Number of Households","Number",""
"All households","Offaly","1971","Number of Persons Resident","Number","51829"
"All households","Offaly","1979","Number of Households","Number","14432"
"All households","Offaly","1979","Number of Persons Resident","Number","57342"
"All households","Offaly","1981","Number of Households","Number","14871"
"All households","Offaly","1981","Number of Persons Resident","Number","58312"
"All households","Offaly","1986","Number of Households","Number","15793"
"All households","Offaly","1986","Number of Persons Resident","Number","59835"
"All households","Offaly","1991","Number of Households","Number","16287"
"All households","Offaly","1991","Number of Persons Resident","Number","58494"
"All households","Offaly","1996","Number of Households","Number","17510"
"All households","Offaly","1996","Number of Persons Resident","Number","59117"
"All households","Offaly","2002","Number of Households","Number","20190"
"All households","Offaly","2002","Number of Persons Resident","Number","63506"
"All households","Offaly","2006","Number of Households","Number","23821"
"All households","Offaly","2006","Number of Persons Resident","Number","70640"
"All households","Offaly","2011","Number of Households","Number","26795"
